indig,age,t_ed,income,quickstats_code,CED_NAME_2021,STATE_NAME_2021,State_acronym,dem_rating,FullName,Party,DivisionID,Australian Labor Party Percentage,Coalition point lead
1.2,37.0,38.4,1017.0,513,Perth,Western Australia,WA,Inner Metropolitan,Hon Patrick Gorman MP,Australian Labor Party,245,64.8,-14.799999999999997
2.2,36.0,31.4,897.0,514,Swan,Western Australia,WA,Inner Metropolitan,Ms Zaneta Mascarenhas MP,Australian Labor Party,247,58.77,-8.770000000000003
1.1,40.0,36.4,844.0,515,Tangney,Western Australia,WA,Inner Metropolitan,Mr Sam Lim MP,Australian Labor Party,248,52.38,-2.3800000000000026
4.0,41.0,20.1,675.0,601,Bass,Tasmania,Tas,Provincial,Mrs Bridget Archer MP,Liberal Party of Australia,192,48.57,1.4299999999999997
8.5,45.0,12.8,637.0,602,Braddon,Tasmania,Tas,Rural,Mr Gavin Pearce MP,Liberal Party of Australia,193,41.97,8.030000000000001
3.3,37.0,36.7,780.0,603,Clark,Tasmania,Tas,Inner Metropolitan,Mr Andrew Wilkie MP,Independent,319,67.24,-17.239999999999995
5.3,41.0,26.8,775.0,604,Franklin,Tasmania,Tas,Outer Metropolitan,Hon Julie Collins MP,Australian Labor Party,195,63.7,-13.700000000000003
5.9,44.0,12.9,652.0,605,Lyons,Tasmania,Tas,Rural,Mr Brian Mitchell MP,Australian Labor Party,196,50.92,-0.9200000000000017
40.3,32.0,14.4,726.0,701,Lingiari,Northern Territory,NT,Rural,Ms Marion Scrymgour MP,Australian Labor Party,306,50.95,-0.9500000000000028
10.1,34.0,29.0,1110.0,702,Solomon,Northern Territory,NT,Inner Metropolitan,"Mr Luke Gosling OAM, MP",Australian Labor Party,307,59.37,-9.369999999999997
2.5,38.0,35.8,1183.0,801,Bean,Australian Capital Territory,ACT,Inner Metropolitan,Mr David Smith MP,Australian Labor Party,318,62.95,-12.950000000000003
1.4,35.0,52.8,1289.0,802,Canberra,Australian Capital Territory,ACT,Inner Metropolitan,Ms Alicia Payne MP,Australian Labor Party,101,72.46,-22.459999999999994
2.1,34.0,39.7,1145.0,803,Fenner,Australian Capital Territory,ACT,Inner Metropolitan,Hon Dr Andrew Leigh MP,Australian Labor Party,102,65.69,-15.689999999999998
